STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY_ CODE, IDPs , HHs ,  Aj Jazirah ,  Central Darfur ,  East Darfur ,  Khartoum ,  North Darfur ,  North Kordofan ,  South Darfur ,  South Kordofan ,  West Darfur ,  SUDANESE , NON SUDANESE
Red Sea,SD10,Tawkar,SD10065, 275 , 55 , -   , -   , -   , 275 , -   , -   , -   , -   , -   , 275 ,0
River Nile,SD16,Abu Hamad,SD16008," 65,865 "," 13,104 ", -   , -   , -   ," 65,865 ", -   , -   , -   , -   , -   ," 65,865 ",0
River Nile,SD16,Ad Damar,SD16011," 143,000 "," 28,630 ", -   , -   , -   ," 143,000 ", -   , -   , -   , -   , -   ," 143,000 ",0
River Nile,SD16,Al Buhaira,SD16014," 57,685 "," 11,518 ", -   , -   , -   ," 57,685 ", -   , -   , -   , -   , -   ," 57,685 ",0
River Nile,SD16,Al Matama,SD16009," 92,117 "," 18,439 ", -   , -   , -   ," 92,117 ", -   , -   , -   , -   , -   ," 92,117 ",0
River Nile,SD16,Atbara,SD16012," 95,130 "," 18,884 ", -   , -   , -   ," 95,130 ", -   , -   , -   , -   , -   ," 95,130 ",0
River Nile,SD16,Barbar,SD16013," 8,191 "," 1,638 ", -   , -   , -   ," 8,191 ", -   , -   , -   , -   , -   ," 8,191 ",0
River Nile,SD16,Shendi,SD16010," 149,904 "," 29,907 ", -   , -   , -   ," 149,904 ", -   , -   , -   , -   , -   ," 149,384 ",520
Sennar,SD14,Abu Hujar,SD14037," 42,470 "," 8,494 ", -   , -   , -   ," 42,470 ", -   , -   , -   , -   , -   ," 42,470 ",0
Sennar,SD14,Ad Dali,SD14039," 41,100 "," 8,220 ", -   , -   , -   ," 41,100 ", -   , -   , -   , -   , -   ," 41,100 ",0
Sennar,SD14,Ad Dinder,SD14040," 59,996 "," 12,003 ", -   , -   , -   ," 59,996 ", -   , -   , -   , -   , -   ," 59,996 ",0
Sennar,SD14,As Suki,SD14041," 50,114 "," 9,976 ", -   , -   , -   ," 50,114 ", -   , -   , -   , -   , -   ," 50,114 ",0
Sennar,SD14,Sennar,SD14038," 61,073 "," 12,172 ", -   , -   , -   ," 61,073 ", -   , -   , -   , -   , -   ," 61,073 ",0
Sennar,SD14,Sharg Sennar,SD14042," 49,054 "," 9,804 ", -   , -   , -   ," 49,054 ", -   , -   , -   , -   , -   ," 49,054 ",0
Sennar,SD14,Sinja,SD14043," 45,172 "," 9,029 ", -   , -   , -   ," 45,172 ", -   , -   , -   , -   , -   ," 45,172 ",0
South Darfur,SD03,Al Wihda,SD03150," 7,325 "," 1,465 ", -   , -   , -   , -   , -   , -   ," 7,325 ", -   , -   ," 7,325 ",0
South Darfur,SD03,As Salam - SD,SD03166," 10,600 "," 2,120 ", -   ," 1,025 ", -   , -   , -   , -   ," 9,575 ", -   , -   ," 10,600 ",0
South Darfur,SD03,As Sunta,SD03156," 101,530 "," 20,306 ", -   ," 2,350 ", -   ," 3,525 "," 4,705 ", -   ," 89,775 ", -   ," 1,175 "," 101,530 ",0
South Darfur,SD03,Beliel,SD03162," 139,808 "," 27,960 ", -   , -   , -   , -   , -   , -   ," 139,808 ", -   , -   ," 139,808 ",0
South Darfur,SD03,Buram,SD03161," 103,075 "," 20,615 ", -   ," 2,000 ", -   ," 9,000 "," 5,000 ", -   ," 84,075 ", -   ," 3,000 "," 103,075 ",0
South Darfur,SD03,Damso,SD03172," 2,850 ", 570 , -   , -   , -   , -   , -   , -   ," 2,850 ", -   , -   ," 2,850 ",0
South Darfur,SD03,Ed Al Fursan,SD03143," 10,385 "," 2,077 ", -   , 250 , -   , 600 , -   , -   ," 9,535 ", -   , -   ," 10,385 ",0
South Darfur,SD03,Kas,SD03144," 56,540 "," 11,308 ", -   ," 1,040 ", -   , -   , -   , -   ," 55,500 ", -   , -   ," 56,540 ",0
South Darfur,SD03,Kateila,SD03159," 21,250 "," 4,250 ", -   , -   , -   ," 2,500 ", -   , -   ," 18,750 ", -   , -   ," 21,250 ",0
South Darfur,SD03,Kubum,SD03157," 5,275 "," 1,055 ", -   , 50 , -   , -   , -   , -   ," 5,225 ", -   , -   ," 5,275 ",0
South Darfur,SD03,Mershing,SD03145," 23,425 "," 4,685 ", -   , -   , -   , -   , 375 , -   ," 23,050 ", -   , -   ," 23,425 ",0
South Darfur,SD03,Nitega,SD03151," 6,240 "," 1,248 ", -   , -   , -   , -   , -   , -   ," 6,240 ", -   , -   ," 6,240 ",0
South Darfur,SD03,Nyala Janoub,SD03167," 142,400 "," 28,480 ", -   , -   , -   , -   , -   , -   ," 142,225 ", -   , 175 ," 142,400 ",0
South Darfur,SD03,Rehaid Albirdi,SD03158," 4,000 ", 800 , -   , -   , -   , -   , -   , -   ," 4,000 ", -   , -   ," 4,000 ",0
South Darfur,SD03,Sharg Aj Jabal,SD03147," 23,470 "," 4,694 ", -   , 650 , -   , -   , -   , -   ," 22,820 ", -   , -   ," 23,470 ",0
South Darfur,SD03,Tulus,SD03149," 19,625 "," 3,925 ", -   , -   , -   , -   , -   , -   ," 19,625 ", -   , -   ," 19,625 ",0
South Darfur,SD03,Um Dafoug,SD03146," 2,725 ", 545 , -   , -   , -   , -   , -   , -   ," 2,725 ", -   , -   ," 2,725 ",0
South Kordofan,SD07,Abassiya,SD07090," 17,752 "," 3,236 ", -   , -   , -   ," 15,222 ", -   , 180 , -   ," 2,350 ", -   ," 17,681 ",71
South Kordofan,SD07,Abu Jubayhah,SD07088," 14,471 "," 2,789 ", -   , -   , -   ," 11,498 ", -   ," 1,970 ", -   ," 1,003 ", -   ," 13,927 ",544
South Kordofan,SD07,Abu Kershola,SD07104," 6,752 "," 1,294 ", -   , -   , -   ," 6,582 ", -   , 75 , -   , 95 , -   ," 6,752 ",0
South Kordofan,SD07,Al Leri,SD07105," 1,310 ", 204 , -   , -   , -   ," 1,310 ", -   , -   , -   , -   , -   ," 1,310 ",0
South Kordofan,SD07,Al Quoz,SD07094," 1,968 ", 364 , -   , -   , -   ," 1,534 ", -   , 30 , -   , 404 , -   ," 1,871 ",97
South Kordofan,SD07,Ar Rashad,SD07093," 5,051 "," 1,079 ", -   , -   , -   ," 3,725 ", -   , 195 , -   ," 1,131 ", -   ," 5,051 ",0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097," 20,860 "," 4,172 ", -   , -   , -   , -   , -   , -   , -   ," 20,860 ", -   ," 20,860 ",0
South Kordofan,SD07,At Tadamon - SK,SD07106," 1,120 ", 200 , -   , -   , -   ," 1,117 ", -   , 3 , -   , -   , -   ," 1,120 ",0
South Kordofan,SD07,Delami,SD07107," 1,420 ", 284 , -   , -   , -   ," 1,420 ", -   , -   , -   , -   , -   ," 1,420 ",0
South Kordofan,SD07,Dilling,SD07095," 9,160 "," 2,039 ", -   , -   , -   ," 8,498 ", -   , -   , -   , 662 , -   ," 9,160 ",0
South Kordofan,SD07,Ghadeer,SD07108," 2,460 ", 480 , -   , -   , -   ," 2,460 ", -   , -   , -   , -   , -   ," 2,460 ",0
South Kordofan,SD07,Habila - SK,SD07103," 6,470 "," 1,304 ", -   , -   , -   ," 4,541 ", -   , 796 , -   ," 1,133 ", -   ," 6,470 ",0
South Kordofan,SD07,Kadugli,SD07098," 11,164 "," 2,012 ", -   , -   , -   ," 6,767 ", -   , 260 , -   ," 4,137 ", -   ," 11,164 ",0
South Kordofan,SD07,Talawdi,SD07089," 2,013 ", 402 , -   , -   , -   ," 2,013 ", -   , -   , -   , -   , -   ," 2,013 ",0
West Darfur,SD04,Ag Geneina,SD04115," 22,205 "," 4,441 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,205 "," 22,205 ",0
West Darfur,SD04,Foro Baranga,SD04121," 5,935 "," 1,187 ", -   ," 2,550 ", 160 , 565 , -   , -   , 700 , -   ," 1,960 "," 5,935 ",0
West Darfur,SD04,Habila - WD,SD04122, 500 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , 500 , 500 ,0
West Darfur,SD04,Jebel Moon,SD04123," 36,565 "," 7,313 ", -   , -   , -   , 434 , 286 , -   , -   , -   ," 35,845 "," 36,565 ",0
West Darfur,SD04,Kulbus,SD04127," 29,560 "," 5,912 ", -   , -   , -   , -   , -   , -   , -   , -   ," 29,560 "," 29,560 ",0
West Darfur,SD04,Sirba,SD04134," 25,875 "," 5,175 ", -   , -   , -   , -   , -   , -   , -   , -   ," 25,875 "," 25,875 ",0
West Kordofan,SD18,Abu Zabad,SD18028," 8,327 "," 1,622 ", -   , -   , -   ," 7,540 ", -   , 787 , -   , -   , -   ," 8,327 ",0
West Kordofan,SD18,Abyei,SD18087," 3,053 ", 570 , -   , -   , -   ," 3,053 ", -   , -   , -   , -   , -   ," 3,053 ",0
West Kordofan,SD18,Al Dibab,SD18103," 7,124 "," 1,421 ", -   , -   , -   ," 7,124 ", -   , -   , -   , -   , -   ," 7,124 ",0
West Kordofan,SD18,Al Idia,SD18104," 4,471 ", 759 , -   , -   , -   ," 4,288 ", -   , 123 , 60 , -   , -   ," 4,471 ",0
West Kordofan,SD18,Al Khiwai,SD18105," 5,843 "," 1,157 ", -   , -   , -   , 456 , -   ," 5,387 ", -   , -   , -   ," 5,843 ",0
West Kordofan,SD18,Al Lagowa,SD18102," 2,290 ", 393 , -   , -   , -   , 850 , -   , 124 , -   ," 1,316 ", -   ," 2,290 ",0
West Kordofan,SD18,Al Meiram,SD18106," 1,552 ", 314 , -   , -   , -   ," 1,539 ", -   , 5 , -   , 8 , -   ," 1,552 ",0
West Kordofan,SD18,An Nuhud,SD18022," 16,343 "," 3,217 ", -   , -   , -   ," 15,781 ", 8 , 548 , -   , 6 , -   ," 16,343 ",0
West Kordofan,SD18,As Salam - WK,SD18086," 5,896 "," 1,312 ", -   , -   , -   ," 5,716 ", -   , 35 , -   , 145 , -   ," 5,896 ",0
West Kordofan,SD18,As Sunut,SD18092," 1,356 ", 289 , -   , -   , -   ," 1,345 ", -   , 11 , -   , -   , -   ," 1,356 ",0
West Kordofan,SD18,Babanusa,SD18100," 6,465 "," 1,284 ", -   , -   , -   ," 6,069 ", -   , 80 , 306 , -   , 10 ," 6,465 ",0
West Kordofan,SD18,Ghubaish,SD18021," 5,591 "," 1,188 ", -   , -   , -   ," 4,604 ", -   , 987 , -   , -   , -   ," 5,591 ",0
West Kordofan,SD18,Keilak,SD18085," 1,263 ", 233 , -   , -   , -   , 165 , -   , 160 , -   , 938 , -   ," 1,263 ",0
West Kordofan,SD18,Wad Bandah,SD18029," 4,548 ", 847 , -   , -   , -   ," 3,618 ", 740 , 190 , -   , -   , -   ," 4,548 ",0
White Nile,SD09,Ad Diwaim,SD09044," 74,332 "," 15,074 ", -   , -   , -   ," 74,332 ", -   , -   , -   , -   , -   ," 74,277 ",55
White Nile,SD09,Aj Jabalain,SD09051," 75,552 "," 15,108 ", -   , -   , -   ," 75,552 ", -   , -   , -   , -   , -   ," 26,077 ",49475
White Nile,SD09,Al Gitaina,SD09050," 29,510 "," 5,897 ", -   , -   , -   ," 29,510 ", -   , -   , -   , -   , -   ," 29,510 ",0
White Nile,SD09,As Salam / Ar Rawat,SD09049," 44,734 "," 8,945 ", -   , -   , -   ," 44,734 ", -   , -   , -   , -   , -   ," 3,784 ",40950
White Nile,SD09,Guli,SD09052," 28,283 "," 5,137 ", -   , -   , -   ," 28,283 ", -   , -   , -   , -   , -   ," 28,283 ",0
White Nile,SD09,Kosti,SD09047," 78,970 "," 15,385 ", -   , -   , -   ," 78,970 ", -   , -   , -   , -   , -   ," 78,549 ",421
White Nile,SD09,Rabak,SD09046," 63,051 "," 12,592 ", -   , -   , -   ," 63,051 ", -   , -   , -   , -   , -   ," 63,051 ",0
White Nile,SD09,Tendalti,SD09048," 17,353 "," 3,443 ", -   , -   , -   ," 17,353 ", -   , -   , -   , -   , -   ," 17,353 ",0
White Nile,SD09,Um Rimta,SD09045," 18,762 "," 3,749 ", -   , -   , -   ," 18,762 ", -   , -   , -   , -   , -   ," 18,762 ",0
