DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#adm2+name,#adm2+pcode,#affected+idps+hh,#affected+idps+ind,,,,,,,,,,,,,,
 East Darfur , SD05 , Abu Karinka , SD05155 ," 42,040 "," 8,408 ", 200 , -   ," 9,875 "," 31,610 ", 330 , -   , -   , 25 , -   , -   , -   , -   ," 42,040 ", -   
 East Darfur , SD05 , Ad Du'ayn , SD05142 ," 127,570 "," 25,514 ", -   , -   ," 11,450 "," 36,325 "," 7,815 "," 3,910 ", -   ," 68,005 ", -   , -   , 65 , -   ," 127,570 ", -   
 East Darfur , SD05 , Adila , SD05139 ," 48,915 "," 9,783 ", -   , -   , 615 ," 44,625 ", -   , -   , -   ," 3,020 ", -   , -   , 655 , -   ," 48,915 ", -   
 East Darfur , SD05 , Al Firdous , SD05152 ," 53,250 "," 10,650 ", -   , -   ," 12,500 "," 33,750 ", -   , -   , -   ," 7,000 ", -   , -   , -   , -   ," 53,250 ", -   
 East Darfur , SD05 , Assalaya , SD05163 ," 20,550 "," 4,110 ", 200 , -   ," 15,500 ", 10 , -   , 390 , -   ," 4,450 ", -   , -   , -   , -   ," 20,550 ", -   
 East Darfur , SD05 , Bahr Al Arab , SD05160 ," 67,220 "," 13,424 ", -   , -   ," 15,500 "," 49,420 ", -   , -   , -   ," 2,000 ", -   , -   , 300 , -   ," 67,220 ", -   
 East Darfur , SD05 , Shia'ria , SD05148 ," 178,935 "," 35,787 ", -   , -   ," 2,995 "," 59,555 "," 6,455 ", -   , -   ," 109,930 ", -   , -   , -   , -   ," 178,935 ", -   
 East Darfur , SD05 , Yassin , SD05165 ," 77,135 "," 15,337 ", -   , -   ," 3,825 "," 64,335 ", 830 , 120 , -   ," 8,025 ", -   , -   , -   , -   ," 77,135 ", -   
 Gedaref , SD12 , Al Butanah , SD12073 ," 3,795 ", 761 , 265 , -   , -   ," 3,530 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,795 ", -   
 Gedaref , SD12 , Al Fao , SD12074 ," 69,197 "," 13,668 "," 44,221 ", -   , -   ," 24,976 ", -   , -   , -   , -   , -   , -   , -   , -   ," 68,947 ", 250 
 Gedaref , SD12 , Al Fashaga , SD12075 ," 37,432 "," 7,446 "," 23,174 ", -   , -   ," 13,996 ", 262 , -   , -   , -   , -   , -   , -   , -   ," 37,432 ", -   
 Gedaref , SD12 , Al Galabat Al Gharbyah - Kassab , SD12078 ," 18,265 "," 3,693 "," 5,025 ", -   , -   ," 11,960 ", 690 , 350 , -   , 240 , -   , -   , -   , -   ," 18,265 ", -   
 Gedaref , SD12 , Al Mafaza , SD12082 ," 43,260 "," 8,654 "," 20,235 ", -   , -   ," 23,025 ", -   , -   , -   , -   , -   , -   , -   , -   ," 43,260 ", -   
 Gedaref , SD12 , Al Qureisha , SD12076 ," 30,605 "," 6,121 "," 10,078 ", -   , -   ," 20,355 ", 172 , -   , -   , -   , -   , -   , -   , -   ," 30,605 ", -   
 Gedaref , SD12 , AR Rahad , SD12084 ," 45,555 "," 9,111 "," 6,275 ", -   , -   ," 39,280 ", -   , -   , -   , -   , -   , -   , -   , -   ," 45,555 ", -   
 Gedaref , SD12 , Basundah , SD12077 ," 25,905 "," 5,072 "," 9,122 ", -   , -   ," 16,295 ", 433 , -   , -   , 55 , -   , -   , -   , -   ," 25,905 ", -   
 Gedaref , SD12 , Gala'a Al Nahal , SD12079 ," 12,202 "," 2,440 ", -   , -   , -   ," 12,202 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,202 ", -   
 Gedaref , SD12 , Galabat Ash-Shargiah , SD12083 ," 52,570 "," 10,510 "," 7,645 ", -   , -   ," 44,925 ", -   , -   , -   , -   , -   , -   , -   , -   ," 52,570 ", -   
 Gedaref , SD12 , Madeinat Al Gedaref , SD12080 ," 128,759 "," 25,486 "," 17,195 ", -   , -   ," 111,564 ", -   , -   , -   , -   , -   , -   , -   , -   ," 128,759 ", -   
 Gedaref , SD12 , Wasat Al Gedaref , SD12081 ," 24,748 "," 4,855 "," 5,453 ", -   , -   ," 19,295 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,463 "," 7,285 "
 Kassala , SD11 , Halfa Aj Jadeedah , SD11052 ," 52,220 "," 10,450 "," 5,050 ", -   , -   ," 47,170 ", -   , -   , -   , -   , -   , -   , -   , -   ," 51,520 ", 700 
 Kassala , SD11 , Madeinat Kassala , SD11053 ," 123,277 "," 24,912 "," 44,165 ", -   , -   ," 79,112 ", -   , -   , -   , -   , -   , -   , -   , -   ," 120,107 "," 3,170 "
 Kassala , SD11 , Reifi Aroma , SD11055 ," 1,565 ", 313 , 520 , -   , -   ," 1,045 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,565 ", -   
 Kassala , SD11 , Reifi Gharb Kassala , SD11054 , 20 , 4 , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   
 Kassala , SD11 , Reifi Hamashkureib , SD11058 , 685 , 138 , 470 , -   , -   , 215 , -   , -   , -   , -   , -   , -   , -   , -   , 685 , -   
 Kassala , SD11 , Reifi Kassla , SD11056 ," 3,765 ", 748 ," 1,145 ", -   , -   ," 2,620 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,765 ", -   
 Kassala , SD11 , Reifi Khashm Elgirba , SD11060 ," 8,209 "," 1,631 ", -   , -   , -   ," 8,209 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,209 ", -   
 Kassala , SD11 , Reifi Nahr Atbara , SD11062 ," 4,067 ", 831 , 850 , -   , -   ," 3,217 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,067 ", -   
 Kassala , SD11 , Reifi Shamal Ad Delta , SD11057 ," 3,965 ", 793 , 550 , -   , -   ," 3,415 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,965 ", -   
 Kassala , SD11 , Reifi Telkok , SD11059 ," 2,310 ", 462 , 880 , -   , -   ," 1,430 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,310 ", -   
 Khartoum , SD01 , Bahri , SD01003 ," 14,200 "," 2,822 ", -   , -   , -   ," 14,200 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,195 ", 5 
 Khartoum , SD01 , Jebel Awlia , SD01001 ," 3,895 ", 779 , 30 , -   , -   ," 3,865 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,785 ", 110 
 Khartoum , SD01 , Karrari , SD01005 ," 14,911 "," 2,996 ", 15 , -   , -   ," 14,896 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,876 ", 35 
 Khartoum , SD01 , Khartoum , SD01007 ," 2,465 ", 493 , -   , -   , -   ," 2,465 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,465 ", -   
 Khartoum , SD01 , Sharg An Neel , SD01004 ," 17,425 "," 3,455 "," 1,355 ", -   , -   ," 16,070 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,420 ", 5 
 Khartoum , SD01 , Um Bada , SD01002 ," 7,715 "," 1,533 ", 25 , -   , -   ," 7,690 ", -   , -   , -   , -   , -   , -   , -   , -   ," 7,705 ", 10 
 Khartoum , SD01 , Um Durman , SD01006 ," 8,446 "," 1,639 ", -   , -   , -   ," 8,446 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,376 ", 70 
 North Darfur , SD02 , Al Fasher , SD02114 ," 206,933 "," 41,376 ", -   , -   , -   , 400 ," 181,633 ", -   , -   ," 24,900 ", -   , -   , -   , -   ," 206,933 ", -   
 North Darfur , SD02 , Al Koma , SD02116 ," 10,045 "," 2,009 ", -   , -   , -   , 25 ," 9,855 ", -   , -   , 165 , -   , -   , -   , -   ," 10,045 ", -   
 North Darfur , SD02 , Al lait , SD02169 ," 7,690 "," 1,518 ", -   , 25 , -   ," 4,335 "," 2,021 ", 105 , -   ," 1,024 ", -   , 35 , 145 , -   ," 7,690 ", -   
 North Darfur , SD02 , Al Malha , SD02117 ," 6,225 "," 1,245 ", 65 , 40 , 100 , 255 ," 5,240 ", 320 , -   , 185 , -   , -   , 20 , -   ," 6,159 ", 66 
 North Darfur , SD02 , As Serief , SD02118 ," 2,370 ", 474 , -   , 335 , -   , -   ," 1,390 ", -   , -   , 45 , -   , 600 , -   , -   ," 2,370 ", -   
 North Darfur , SD02 , At Tawisha , SD02119 ," 1,835 ", 347 , -   , -   , -   , -   ," 1,835 ", -   , -   , -   , -   , -   , -   , -   ," 1,835 ", -   
 North Darfur , SD02 , At Tina , SD02171 , 570 , 114 , -   , -   , -   , -   , 570 , -   , -   , -   , -   , -   , -   , -   , 570 , -   
 North Darfur , SD02 , Dar As Salam , SD02113 ," 25,007 "," 4,956 ", -   , -   , 108 , 210 ," 14,800 ", -   , -   ," 9,889 ", -   , -   , -   , -   ," 25,004 ", 3 
 North Darfur , SD02 , Kebkabiya , SD02124 ," 15,305 "," 3,061 ", -   ," 2,970 ", -   ," 1,520 "," 4,300 ", -   , -   ," 1,215 ", -   ," 5,300 ", -   , -   ," 15,305 ", -   
 North Darfur , SD02 , Kelemando , SD02126 ," 9,940 "," 1,976 ", -   , -   , -   ," 1,225 "," 7,280 ", -   , -   ," 1,435 ", -   , -   , -   , -   ," 9,940 ", -   
 North Darfur , SD02 , Kernoi , SD02168 ," 1,555 ", 311 , -   , -   , -   , 15 ," 1,265 ", -   , -   , 105 , -   , 170 , -   , -   ," 1,555 ", -   
 North Darfur , SD02 , Kutum , SD02128 ," 104,415 "," 20,883 ", -   , -   , -   , -   ," 104,415 ", -   , -   , -   , -   , -   , -   , -   ," 104,415 ", -   
 North Darfur , SD02 , Melit , SD02129 ," 32,275 "," 6,455 ", -   , -   , -   , -   ," 32,110 ", -   , -   , 165 , -   , -   , -   , -   ," 32,227 ", 48 
 North Darfur , SD02 , Saraf Omra , SD02133 ," 17,345 "," 3,469 ", -   ," 4,525 ", -   , 850 , 900 , -   , -   ," 4,285 ", -   ," 6,785 ", -   , -   ," 17,345 ", -   
 North Darfur , SD02 , Tawila , SD02170 ," 92,520 "," 18,504 ", -   , -   , -   , -   ," 92,270 ", -   , -   , 250 , -   , -   , -   , -   ," 92,520 ", -   
 North Darfur , SD02 , Um Baru , SD02120 ," 1,105 ", 221 , -   , 45 , -   , 65 , 810 , -   , -   , 130 , -   , 55 , -   , -   ," 1,105 ", -   
 North Darfur , SD02 , Um Kadadah , SD02136 ," 37,920 "," 7,584 ", -   , -   , -   , -   ," 37,920 ", -   , -   , -   , -   , -   , -   , -   ," 37,920 ", -   
 North Kordofan , SD13 , AR Rahad , SD13030 ," 56,176 "," 11,194 ", 25 , -   , -   ," 27,828 ", -   ," 27,163 ", -   , -   ," 1,160 ", -   , -   , -   ," 56,158 ", 18 
 North Kordofan , SD13 , Bara , SD13026 ," 32,166 "," 6,448 "," 1,648 ", -   , -   ," 28,393 ", -   ," 1,290 ", 235 , -   , 600 , -   , -   , -   ," 32,166 ", -   
 North Kordofan , SD13 , Gebrat Al Sheikh , SD13027 ," 6,801 "," 1,364 ", -   , -   , -   ," 6,801 ", -   , -   , -   , -   , -   , -   , -   , -   ," 6,801 ", -   
 North Kordofan , SD13 , Gharb Bara , SD13029 ," 8,065 "," 1,546 ", -   , -   , -   ," 6,253 ", -   ," 1,812 ", -   , -   , -   , -   , -   , -   ," 8,065 ", -   
 North Kordofan , SD13 , Sheikan , SD13024 ," 21,661 "," 4,251 ", -   , -   , -   ," 8,998 ", -   ," 10,043 ", -   , -   ," 2,130 ", -   , 365 , 125 ," 21,353 ", 308 
 North Kordofan , SD13 , Soudari , SD13025 ," 2,438 ", 441 , -   , -   , -   ," 2,438 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,438 ", -   
 North Kordofan , SD13 , Um Dam Haj Ahmed , SD13028 ," 14,846 "," 2,896 ", -   , -   , -   ," 14,846 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,846 ", -   
 North Kordofan , SD13 , Um Rawaba , SD13023 ," 31,854 "," 6,121 ", -   , -   , -   ," 26,915 ", -   ," 4,256 ", -   , -   , 683 , -   , -   , -   ," 31,852 ", 2 
 Northern , SD17 , Ad Dabbah , SD17019 ," 65,010 "," 12,988 ", 361 , -   , -   ," 64,624 ", -   , -   , 25 , -   , -   , -   , -   , -   ," 64,958 ", 52 
 Northern , SD17 , Al Burgaig , SD17016 ," 52,927 "," 10,469 "," 2,791 ", -   , -   ," 50,012 ", -   , -   , -   , -   , 124 , -   , -   , -   ," 52,903 ", 24 
 Northern , SD17 , Al Golid , SD17018 ," 60,442 "," 12,201 "," 2,787 ", -   , -   ," 57,577 ", -   , -   , 78 , -   , -   , -   , -   , -   ," 60,442 ", -   
 Northern , SD17 , Delgo , SD17015 ," 40,375 "," 8,083 "," 1,220 ", -   , -   ," 39,155 ", -   , -   , -   , -   , -   , -   , -   , -   ," 40,375 ", -   
