DTM SUDAN: IDP Master List 25-04-2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LOCATION INFORMATION,,,,TOTAL,,STATE of ORIGIN BY INDIVIUALS,,,,,,,,,,,,NATIONALITY BY INDIVIUALS,
STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
#adm1+name,#adm1+pcode,#adm2+name,#adm2+pcode,#affected+idps+hh,#affected+idps+ind,,,,,,,,,,,,,,
 South Darfur , SD03 , Nitega , SD03151 ," 6,495 "," 1,299 ", -   , -   , -   , -   , -   , -   , -   ," 6,495 ", -   , -   , -   , -   ," 6,495 ", -   
 South Darfur , SD03 , Nyala Janoub , SD03167 ," 70,250 "," 14,050 ", -   , -   , -   , -   , -   , -   , -   ," 70,075 ", -   , 175 , -   , -   ," 70,250 ", -   
 South Darfur , SD03 , Nyala Shimal , SD03164 ," 6,215 "," 1,243 ", -   , -   , -   , -   , -   , -   , -   ," 6,215 ", -   , -   , -   , -   ," 6,215 ", -   
 South Darfur , SD03 , Rehaid Albirdi , SD03158 ," 9,875 "," 1,975 ", -   , -   , -   , -   , -   , -   , -   ," 9,875 ", -   , -   , -   , -   ," 9,875 ", -   
 South Darfur , SD03 , Sharg Aj Jabal , SD03147 ," 31,145 "," 6,230 ", -   , 650 , -   , -   , 600 , -   , -   ," 29,895 ", -   , -   , -   , -   ," 31,145 ", -   
 South Darfur , SD03 , Tulus , SD03149 ," 19,625 "," 3,925 ", -   , -   , -   , -   , -   , -   , -   ," 19,625 ", -   , -   , -   , -   ," 19,625 ", -   
 South Darfur , SD03 , Um Dafoug , SD03146 ," 2,725 ", 545 , -   , -   , -   , -   , -   , -   , -   ," 2,725 ", -   , -   , -   , -   ," 2,725 ", -   
 South Kordofan , SD07 , Abassiya , SD07090 ," 38,180 "," 7,546 "," 1,663 ", -   , -   ," 14,542 ", -   , 310 , -   , -   ," 21,665 ", -   , -   , -   ," 38,109 ", 71 
 South Kordofan , SD07 , Abu Jubayhah , SD07088 ," 18,534 "," 3,671 ", 790 , -   , -   ," 13,146 ", -   ," 3,330 ", 165 , -   ," 1,103 ", -   , -   , -   ," 17,990 ", 544 
 South Kordofan , SD07 , Abu Kershola , SD07104 ," 9,131 "," 1,766 ", -   , -   , -   ," 6,300 ", -   , 935 , -   , -   ," 1,896 ", -   , -   , -   ," 9,131 ", -   
 South Kordofan , SD07 , Al Leri , SD07105 ," 1,919 ", 364 , 5 , -   , -   ," 1,798 ", -   , 81 , -   , -   , 35 , -   , -   , -   ," 1,919 ", -   
 South Kordofan , SD07 , Al Quoz , SD07094 ," 5,397 "," 1,056 ", -   , -   , -   ," 1,804 ", -   , 30 , -   , -   ," 3,563 ", -   , -   , -   ," 5,270 ", 127 
 South Kordofan , SD07 , Ar Rashad , SD07093 ," 6,054 "," 1,216 ", 280 , -   , -   ," 3,855 ", -   , 227 , -   , -   ," 1,592 ", -   , 20 , 80 ," 6,054 ", -   
 South Kordofan , SD07 , Ar Reif Ash Shargi , SD07097 ," 28,675 "," 5,735 ", -   , -   , -   , -   , -   , -   , -   , -   ," 28,675 ", -   , -   , -   ," 28,675 ", -   
 South Kordofan , SD07 , At Tadamon - SK , SD07106 ," 1,216 ", 219 , 15 , -   , -   ," 1,137 ", -   , 5 , -   , -   , -   , -   , -   , 59 ," 1,216 ", -   
 South Kordofan , SD07 , Delami , SD07107 ," 1,420 ", 284 , -   , -   , -   ," 1,420 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,420 ", -   
 South Kordofan , SD07 , Dilling , SD07095 ," 13,970 "," 2,934 ", -   , -   , -   ," 8,045 ", -   , 5 , -   , -   ," 5,920 ", -   , -   , -   ," 13,970 ", -   
 South Kordofan , SD07 , Ghadeer , SD07108 ," 1,900 ", 380 , -   , -   , -   ," 1,900 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,900 ", -   
 South Kordofan , SD07 , Habila - SK , SD07103 ," 56,626 "," 11,319 ", -   , -   , -   ," 2,484 ", -   , 697 , -   , -   ," 53,445 ", -   , -   , -   ," 56,626 ", -   
 South Kordofan , SD07 , Kadugli , SD07098 ," 13,804 "," 2,600 ", -   , -   , -   ," 6,625 ", -   , 295 , -   , -   ," 6,864 ", -   , 10 , 10 ," 13,804 ", -   
 South Kordofan , SD07 , Talawdi , SD07089 ," 2,013 ", 402 , -   , -   , -   ," 2,013 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,013 ", -   
 West Darfur , SD04 , Ag Geneina , SD04115 ," 33,540 "," 6,708 ", -   , 950 ," 1,700 "," 2,355 ", 510 , -   , -   ," 6,495 ", -   ," 21,530 ", -   , -   ," 33,540 ", -   
 West Darfur , SD04 , Beida , SD04111 , 955 , 191 , -   , 5 , -   , -   , -   , -   , -   , 195 , -   , 755 , -   , -   , 955 , -   
 West Darfur , SD04 , Foro Baranga , SD04121 ," 6,425 "," 1,285 ", -   ," 2,615 ", 185 , 755 , -   , -   , -   , 885 , -   ," 1,985 ", -   , -   ," 6,425 ", -   
 West Darfur , SD04 , Habila - WD , SD04122 ," 13,635 "," 2,727 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,635 ", -   , -   ," 13,635 ", -   
 West Darfur , SD04 , Jebel Moon , SD04123 ," 41,645 "," 8,329 ", -   , -   , -   , 434 , 311 , -   , -   , -   , -   ," 40,900 ", -   , -   ," 41,645 ", -   
 West Darfur , SD04 , Kereneik , SD04125 ," 10,920 "," 2,184 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,920 ", -   , -   ," 10,920 ", -   
 West Darfur , SD04 , Kulbus , SD04127 ," 41,195 "," 8,239 ", -   , -   , -   , -   , -   , -   , -   ," 1,030 ", -   ," 40,165 ", -   , -   ," 41,195 ", -   
 West Darfur , SD04 , Sirba , SD04134 ," 26,225 "," 5,245 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 26,225 ", -   , -   ," 26,225 ", -   
 West Kordofan , SD18 , Abu Zabad , SD18028 ," 9,764 "," 1,933 ", -   , -   , -   ," 7,835 ", 25 ," 1,904 ", -   , -   , -   , -   , -   , -   ," 9,764 ", -   
 West Kordofan , SD18 , Abyei , SD18087 ," 4,291 ", 835 , -   , -   , -   ," 3,581 ", -   , -   , -   , 100 , -   , -   , 610 , -   ," 4,291 ", -   
 West Kordofan , SD18 , Al Dibab , SD18103 ," 16,030 "," 3,206 ", -   , -   , -   ," 7,105 ", -   , -   , -   , -   , -   , -   ," 8,925 ", -   ," 16,030 ", -   
 West Kordofan , SD18 , Al Idia , SD18104 ," 27,311 "," 5,247 ", -   , -   , -   ," 5,731 ", -   , 355 , -   , 60 , -   , -   ," 21,165 ", -   ," 27,311 ", -   
 West Kordofan , SD18 , Al Khiwai , SD18105 ," 7,099 "," 1,407 ", -   , -   , -   , 517 , -   ," 5,882 ", -   , -   , -   , -   , 700 , -   ," 7,099 ", -   
 West Kordofan , SD18 , Al Lagowa , SD18102 ," 6,462 "," 1,134 ", -   , -   , -   ," 1,139 ", -   , 376 , -   , -   ," 4,947 ", -   , -   , -   ," 6,462 ", -   
 West Kordofan , SD18 , Al Meiram , SD18106 ," 4,630 ", 926 , -   , -   , -   ," 2,950 ", -   , 5 , -   , -   , 5 , -   ," 1,670 ", -   ," 4,630 ", -   
 West Kordofan , SD18 , An Nuhud , SD18022 ," 17,341 "," 3,423 ", -   , -   , -   ," 15,754 ", 8 , 548 , -   , -   , 6 , -   ," 1,025 ", -   ," 17,341 ", -   
 West Kordofan , SD18 , As Salam - WK , SD18086 ," 13,328 "," 2,729 ", -   , -   , -   ," 6,823 ", -   , 35 , -   , -   , 145 , -   ," 6,325 ", -   ," 13,328 ", -   
 West Kordofan , SD18 , As Sunut , SD18092 ," 2,446 ", 495 , -   , -   , 5 ," 1,370 ", -   , 156 , -   , -   , 25 , -   , 890 , -   ," 2,446 ", -   
 West Kordofan , SD18 , Babanusa , SD18100 ," 25,129 "," 5,026 ", -   , -   , -   , 149 , -   , -   , -   , -   , -   , -   ," 24,980 ", -   ," 25,129 ", -   
 West Kordofan , SD18 , Ghubaish , SD18021 ," 7,117 "," 1,499 ", -   , -   , -   ," 4,774 ", 71 , 987 , -   , 90 , -   , -   ," 1,195 ", -   ," 7,117 ", -   
 West Kordofan , SD18 , Keilak , SD18085 ," 3,035 ", 600 , -   , -   , -   , 165 , -   , 160 , -   , -   ," 1,645 ", -   ," 1,065 ", -   ," 3,035 ", -   
 West Kordofan , SD18 , Wad Bandah , SD18029 ," 4,735 ", 880 , -   , -   , -   ," 3,634 ", 741 , 191 , -   , -   , -   , -   , 169 , -   ," 4,735 ", -   
 White Nile , SD09 , Ad Diwaim , SD09044 ," 85,711 "," 17,243 ", 570 , -   , -   ," 85,141 ", -   , -   , -   , -   , -   , -   , -   , -   ," 85,656 ", 55 
 White Nile , SD09 , Aj Jabalain , SD09051 ," 104,144 "," 20,840 "," 7,164 ", -   , -   ," 96,248 ", -   , 220 , -   , -   , -   , -   , -   , 512 ," 55,823 "," 48,321 "
 White Nile , SD09 , Al Gitaina , SD09050 ," 13,285 "," 2,657 ", 140 , -   , -   ," 12,826 ", -   , -   , -   , -   , -   , -   , -   , 319 ," 13,285 ", -   
 White Nile , SD09 , As Salam / Ar Rawat , SD09049 ," 47,382 "," 9,473 ", 102 , -   , -   ," 47,231 ", -   , -   , -   , -   , -   , -   , -   , 49 ," 6,432 "," 40,950 "
 White Nile , SD09 , Guli , SD09052 ," 26,634 "," 5,210 "," 2,182 ", -   , -   ," 20,782 ", -   , 49 , 55 , -   , -   , -   , -   ," 3,566 "," 26,634 ", -   
 White Nile , SD09 , Kosti , SD09047 ," 132,845 "," 26,159 "," 27,315 ", -   , -   ," 105,280 ", -   , -   , -   , -   , -   , -   , -   , 250 ," 132,477 ", 368 
 White Nile , SD09 , Rabak , SD09046 ," 92,374 "," 18,308 "," 9,558 ", -   , -   ," 82,608 ", -   , -   , -   , -   , -   , -   , -   , 208 ," 92,374 ", -   
 White Nile , SD09 , Tendalti , SD09048 ," 17,483 "," 3,473 ", -   , -   , -   ," 17,483 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,483 ", -   
 White Nile , SD09 , Um Rimta , SD09045 ," 12,785 "," 2,557 "," 1,428 ", -   , -   ," 8,948 ", -   , -   , -   , -   , -   , -   , -   ," 2,409 "," 12,785 ", -   
,,,," 6,786,816 "," 1,352,268 "," 681,261 "," 292,914 "," 75,698 "," 3,568,053 "," 610,384 "," 72,157 "," 45,516 "," 981,069 "," 140,590 "," 235,716 "," 70,964 "," 12,494 "," 6,667,555 "," 119,261 "
