State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,Sennar,0,SD14
East Darfur,SD05,664265,132833,664265,0,2024,Mar,Sennar,0,SD14
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,Sennar,0,SD14
Kassala,SD11,193709,39011,189839,3870,2024,Mar,Sennar,0,SD14
Khartoum,SD01,54355,10805,54120,235,2024,Mar,Sennar,0,SD14
North Darfur,SD02,531892,106317,531774,118,2024,Mar,Sennar,0,SD14
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,Sennar,235,SD14
Northern,SD17,404660,80610,403929,731,2024,Mar,Sennar,303,SD14
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,Sennar,2256,SD14
River Nile,SD16,706906,143509,706906,0,2024,Mar,Sennar,15,SD14
Sennar,SD14,496087,98539,496087,0,2024,Mar,Sennar,38858,SD14
South Darfur,SD03,744823,148964,744823,0,2024,Mar,Sennar,0,SD14
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,Sennar,105,SD14
West Darfur,SD04,171795,34359,171795,0,2024,Mar,Sennar,0,SD14
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,Sennar,0,SD14
White Nile,SD09,525735,104883,435897,89838,2024,Mar,Sennar,55,SD14
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,South Darfur,0,SD03
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,South Darfur,135,SD03
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,South Darfur,19355,SD03
East Darfur,SD05,664265,132833,664265,0,2024,Mar,South Darfur,210105,SD03
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,South Darfur,295,SD03
Kassala,SD11,193709,39011,189839,3870,2024,Mar,South Darfur,0,SD03
Khartoum,SD01,54355,10805,54120,235,2024,Mar,South Darfur,0,SD03
North Darfur,SD02,531892,106317,531774,118,2024,Mar,South Darfur,35223,SD03
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,South Darfur,0,SD03
Northern,SD17,404660,80610,403929,731,2024,Mar,South Darfur,0,SD03
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,South Darfur,3320,SD03
River Nile,SD16,706906,143509,706906,0,2024,Mar,South Darfur,0,SD03
Sennar,SD14,496087,98539,496087,0,2024,Mar,South Darfur,0,SD03
South Darfur,SD03,744823,148964,744823,0,2024,Mar,South Darfur,701858,SD03
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,South Darfur,0,SD03
West Darfur,SD04,171795,34359,171795,0,2024,Mar,South Darfur,8425,SD03
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,South Darfur,250,SD03
White Nile,SD09,525735,104883,435897,89838,2024,Mar,South Darfur,0,SD03
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,South Kordofan,0,SD07
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,South Kordofan,645,SD07
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,South Kordofan,0,SD07
East Darfur,SD05,664265,132833,664265,0,2024,Mar,South Kordofan,0,SD07
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,South Kordofan,0,SD07
Kassala,SD11,193709,39011,189839,3870,2024,Mar,South Kordofan,0,SD07
Khartoum,SD01,54355,10805,54120,235,2024,Mar,South Kordofan,0,SD07
North Darfur,SD02,531892,106317,531774,118,2024,Mar,South Kordofan,0,SD07
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,South Kordofan,3660,SD07
Northern,SD17,404660,80610,403929,731,2024,Mar,South Kordofan,0,SD07
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,South Kordofan,3258,SD07
River Nile,SD16,706906,143509,706906,0,2024,Mar,South Kordofan,0,SD07
Sennar,SD14,496087,98539,496087,0,2024,Mar,South Kordofan,0,SD07
South Darfur,SD03,744823,148964,744823,0,2024,Mar,South Kordofan,0,SD07
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,South Kordofan,100958,SD07
West Darfur,SD04,171795,34359,171795,0,2024,Mar,South Kordofan,0,SD07
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,South Kordofan,5523,SD07
White Nile,SD09,525735,104883,435897,89838,2024,Mar,South Kordofan,0,SD07
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,West Darfur,0,SD04
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,West Darfur,0,SD04
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,West Darfur,61650,SD04
East Darfur,SD05,664265,132833,664265,0,2024,Mar,West Darfur,0,SD04
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,West Darfur,0,SD04
Kassala,SD11,193709,39011,189839,3870,2024,Mar,West Darfur,0,SD04
Khartoum,SD01,54355,10805,54120,235,2024,Mar,West Darfur,0,SD04
North Darfur,SD02,531892,106317,531774,118,2024,Mar,West Darfur,12945,SD04
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,West Darfur,0,SD04
Northern,SD17,404660,80610,403929,731,2024,Mar,West Darfur,0,SD04
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,West Darfur,381,SD04
River Nile,SD16,706906,143509,706906,0,2024,Mar,West Darfur,0,SD04
Sennar,SD14,496087,98539,496087,0,2024,Mar,West Darfur,0,SD04
South Darfur,SD03,744823,148964,744823,0,2024,Mar,West Darfur,4600,SD04
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,West Darfur,0,SD04
West Darfur,SD04,171795,34359,171795,0,2024,Mar,West Darfur,155240,SD04
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,West Darfur,0,SD04
White Nile,SD09,525735,104883,435897,89838,2024,Mar,West Darfur,0,SD04
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,West Kordofan,0,SD18
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,West Kordofan,0,SD18
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,West Kordofan,0,SD18
East Darfur,SD05,664265,132833,664265,0,2024,Mar,West Kordofan,1685,SD18
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,West Kordofan,0,SD18
Kassala,SD11,193709,39011,189839,3870,2024,Mar,West Kordofan,0,SD18
Khartoum,SD01,54355,10805,54120,235,2024,Mar,West Kordofan,0,SD18
North Darfur,SD02,531892,106317,531774,118,2024,Mar,West Kordofan,145,SD18
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,West Kordofan,365,SD18
Northern,SD17,404660,80610,403929,731,2024,Mar,West Kordofan,0,SD18
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,West Kordofan,0,SD18
River Nile,SD16,706906,143509,706906,0,2024,Mar,West Kordofan,0,SD18
Sennar,SD14,496087,98539,496087,0,2024,Mar,West Kordofan,0,SD18
South Darfur,SD03,744823,148964,744823,0,2024,Mar,West Kordofan,0,SD18
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,West Kordofan,30,SD18
West Darfur,SD04,171795,34359,171795,0,2024,Mar,West Kordofan,0,SD18
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,West Kordofan,59504,SD18
White Nile,SD09,525735,104883,435897,89838,2024,Mar,West Kordofan,0,SD18
Aj Jazirah,SD15,355356,70184,355356,0,2024,Mar,White Nile,1232,SD09
Blue Nile,SD08,134301,26856,133806,495,2024,Mar,White Nile,35,SD09
Central Darfur,SD06,428180,85636,428180,0,2024,Mar,White Nile,0,SD09
East Darfur,SD05,664265,132833,664265,0,2024,Mar,White Nile,0,SD09
Gedaref,SD12,429171,85207,421636,7535,2024,Mar,White Nile,0,SD09
Kassala,SD11,193709,39011,189839,3870,2024,Mar,White Nile,0,SD09
Khartoum,SD01,54355,10805,54120,235,2024,Mar,White Nile,0,SD09
North Darfur,SD02,531892,106317,531774,118,2024,Mar,White Nile,0,SD09
North Kordofan,SD13,151292,29723,150964,328,2024,Mar,White Nile,125,SD09
Northern,SD17,404660,80610,403929,731,2024,Mar,White Nile,0,SD09
Red Sea,SD10,247012,49501,231713,15299,2024,Mar,White Nile,875,SD09
River Nile,SD16,706906,143509,706906,0,2024,Mar,White Nile,0,SD09
Sennar,SD14,496087,98539,496087,0,2024,Mar,White Nile,0,SD09
South Darfur,SD03,744823,148964,744823,0,2024,Mar,White Nile,0,SD09
South Kordofan,SD07,174483,34510,173741,742,2024,Mar,White Nile,144,SD09
West Darfur,SD04,171795,34359,171795,0,2024,Mar,White Nile,0,SD09
West Kordofan,SD18,138096,27170,138096,0,2024,Mar,White Nile,0,SD09
White Nile,SD09,525735,104883,435897,89838,2024,Mar,White Nile,6744,SD09
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,Aj Jazirah,149076,SD15
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,Aj Jazirah,11507,SD15
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,Aj Jazirah,0,SD15
East Darfur,SD05,661530,132286,661530,0,2024,Feb,Aj Jazirah,0,SD15
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,Aj Jazirah,72288,SD15
Kassala,SD11,179993,36317,176123,3870,2024,Feb,Aj Jazirah,33455,SD15
Khartoum,SD01,46523,9340,46288,235,2024,Feb,Aj Jazirah,145,SD15
North Darfur,SD02,470467,94032,470349,118,2024,Feb,Aj Jazirah,65,SD15
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,Aj Jazirah,1628,SD15
Northern,SD17,403020,80079,402289,731,2024,Feb,Aj Jazirah,7993,SD15
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,Aj Jazirah,64018,SD15
River Nile,SD16,711488,141530,711473,15,2024,Feb,Aj Jazirah,16876,SD15
Sennar,SD14,434707,87064,434707,0,2024,Feb,Aj Jazirah,80996,SD15
South Darfur,SD03,740793,148158,740793,0,2024,Feb,Aj Jazirah,0,SD15
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,Aj Jazirah,2795,SD15
West Darfur,SD04,168995,33799,168995,0,2024,Feb,Aj Jazirah,0,SD15
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,Aj Jazirah,0,SD15
White Nile,SD09,505351,100536,414875,90476,2024,Feb,Aj Jazirah,21324,SD15
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,Central Darfur,0,SD06
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,Central Darfur,0,SD06
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,Central Darfur,267595,SD06
East Darfur,SD05,661530,132286,661530,0,2024,Feb,Central Darfur,0,SD06
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,Central Darfur,0,SD06
Kassala,SD11,179993,36317,176123,3870,2024,Feb,Central Darfur,0,SD06
Khartoum,SD01,46523,9340,46288,235,2024,Feb,Central Darfur,0,SD06
North Darfur,SD02,470467,94032,470349,118,2024,Feb,Central Darfur,7940,SD06
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,Central Darfur,0,SD06
Northern,SD17,403020,80079,402289,731,2024,Feb,Central Darfur,0,SD06
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,Central Darfur,242,SD06
River Nile,SD16,711488,141530,711473,15,2024,Feb,Central Darfur,65,SD06
Sennar,SD14,434707,87064,434707,0,2024,Feb,Central Darfur,0,SD06
South Darfur,SD03,740793,148158,740793,0,2024,Feb,Central Darfur,9365,SD06
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,Central Darfur,0,SD06
West Darfur,SD04,168995,33799,168995,0,2024,Feb,Central Darfur,3455,SD06
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,Central Darfur,0,SD06
White Nile,SD09,505351,100536,414875,90476,2024,Feb,Central Darfur,0,SD06
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,East Darfur,0,SD05
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,East Darfur,0,SD05
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,East Darfur,0,SD05
East Darfur,SD05,661530,132286,661530,0,2024,Feb,East Darfur,73485,SD05
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,East Darfur,0,SD05
Kassala,SD11,179993,36317,176123,3870,2024,Feb,East Darfur,0,SD05
Khartoum,SD01,46523,9340,46288,235,2024,Feb,East Darfur,0,SD05
North Darfur,SD02,470467,94032,470349,118,2024,Feb,East Darfur,103,SD05
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,East Darfur,0,SD05
Northern,SD17,403020,80079,402289,731,2024,Feb,East Darfur,0,SD05
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,East Darfur,0,SD05
River Nile,SD16,711488,141530,711473,15,2024,Feb,East Darfur,0,SD05
Sennar,SD14,434707,87064,434707,0,2024,Feb,East Darfur,0,SD05
South Darfur,SD03,740793,148158,740793,0,2024,Feb,East Darfur,0,SD05
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,East Darfur,0,SD05
West Darfur,SD04,168995,33799,168995,0,2024,Feb,East Darfur,165,SD05
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,East Darfur,5,SD05
White Nile,SD09,505351,100536,414875,90476,2024,Feb,East Darfur,0,SD05
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,Khartoum,197141,SD01
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,Khartoum,122318,SD01
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,Khartoum,2705,SD01
East Darfur,SD05,661530,132286,661530,0,2024,Feb,Khartoum,358630,SD01
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,Khartoum,333355,SD01
Kassala,SD11,179993,36317,176123,3870,2024,Feb,Khartoum,146538,SD01
Khartoum,SD01,46523,9340,46288,235,2024,Feb,Khartoum,46378,SD01
North Darfur,SD02,470467,94032,470349,118,2024,Feb,Khartoum,8886,SD01
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,Khartoum,123816,SD01
Northern,SD17,403020,80079,402289,731,2024,Feb,Khartoum,394724,SD01
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,Khartoum,164807,SD01
River Nile,SD16,711488,141530,711473,15,2024,Feb,Khartoum,694457,SD01
Sennar,SD14,434707,87064,434707,0,2024,Feb,Khartoum,340585,SD01
South Darfur,SD03,740793,148158,740793,0,2024,Feb,Khartoum,16650,SD01
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,Khartoum,65450,SD01
West Darfur,SD04,168995,33799,168995,0,2024,Feb,Khartoum,1899,SD01
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,Khartoum,61358,SD01
White Nile,SD09,505351,100536,414875,90476,2024,Feb,Khartoum,477797,SD01
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,North Darfur,0,SD02
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,North Darfur,0,SD02
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,North Darfur,73135,SD02
East Darfur,SD05,661530,132286,661530,0,2024,Feb,North Darfur,14600,SD02
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,North Darfur,175,SD02
Kassala,SD11,179993,36317,176123,3870,2024,Feb,North Darfur,0,SD02
Khartoum,SD01,46523,9340,46288,235,2024,Feb,North Darfur,0,SD02
North Darfur,SD02,470467,94032,470349,118,2024,Feb,North Darfur,404806,SD02
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,North Darfur,0,SD02
Northern,SD17,403020,80079,402289,731,2024,Feb,North Darfur,0,SD02
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,North Darfur,5097,SD02
River Nile,SD16,711488,141530,711473,15,2024,Feb,North Darfur,50,SD02
Sennar,SD14,434707,87064,434707,0,2024,Feb,North Darfur,0,SD02
South Darfur,SD03,740793,148158,740793,0,2024,Feb,North Darfur,12350,SD02
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,North Darfur,0,SD02
West Darfur,SD04,168995,33799,168995,0,2024,Feb,North Darfur,311,SD02
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,North Darfur,844,SD02
White Nile,SD09,505351,100536,414875,90476,2024,Feb,North Darfur,0,SD02
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,North Kordofan,0,SD13
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,North Kordofan,35,SD13
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,North Kordofan,0,SD13
East Darfur,SD05,661530,132286,661530,0,2024,Feb,North Kordofan,3910,SD13
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,North Kordofan,0,SD13
Kassala,SD11,179993,36317,176123,3870,2024,Feb,North Kordofan,0,SD13
Khartoum,SD01,46523,9340,46288,235,2024,Feb,North Kordofan,0,SD13
North Darfur,SD02,470467,94032,470349,118,2024,Feb,North Kordofan,425,SD13
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,North Kordofan,19440,SD13
Northern,SD17,403020,80079,402289,731,2024,Feb,North Kordofan,0,SD13
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,North Kordofan,5413,SD13
River Nile,SD16,711488,141530,711473,15,2024,Feb,North Kordofan,25,SD13
Sennar,SD14,434707,87064,434707,0,2024,Feb,North Kordofan,0,SD13
South Darfur,SD03,740793,148158,740793,0,2024,Feb,North Kordofan,0,SD13
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,North Kordofan,5035,SD13
West Darfur,SD04,168995,33799,168995,0,2024,Feb,North Kordofan,0,SD13
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,North Kordofan,10081,SD13
White Nile,SD09,505351,100536,414875,90476,2024,Feb,North Kordofan,271,SD13
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,Sennar,0,SD14
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,Sennar,30,SD14
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,Sennar,0,SD14
East Darfur,SD05,661530,132286,661530,0,2024,Feb,Sennar,0,SD14
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,Sennar,0,SD14
Kassala,SD11,179993,36317,176123,3870,2024,Feb,Sennar,0,SD14
Khartoum,SD01,46523,9340,46288,235,2024,Feb,Sennar,0,SD14
North Darfur,SD02,470467,94032,470349,118,2024,Feb,Sennar,0,SD14
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,Sennar,210,SD14
Northern,SD17,403020,80079,402289,731,2024,Feb,Sennar,303,SD14
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,Sennar,2173,SD14
River Nile,SD16,711488,141530,711473,15,2024,Feb,Sennar,15,SD14
Sennar,SD14,434707,87064,434707,0,2024,Feb,Sennar,13126,SD14
South Darfur,SD03,740793,148158,740793,0,2024,Feb,Sennar,0,SD14
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,Sennar,90,SD14
West Darfur,SD04,168995,33799,168995,0,2024,Feb,Sennar,0,SD14
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,Sennar,0,SD14
White Nile,SD09,505351,100536,414875,90476,2024,Feb,Sennar,55,SD14
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,South Darfur,0,SD03
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,South Darfur,120,SD03
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,South Darfur,18955,SD03
East Darfur,SD05,661530,132286,661530,0,2024,Feb,South Darfur,210105,SD03
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,South Darfur,55,SD03
Kassala,SD11,179993,36317,176123,3870,2024,Feb,South Darfur,0,SD03
Khartoum,SD01,46523,9340,46288,235,2024,Feb,South Darfur,0,SD03
North Darfur,SD02,470467,94032,470349,118,2024,Feb,South Darfur,35187,SD03
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,South Darfur,0,SD03
Northern,SD17,403020,80079,402289,731,2024,Feb,South Darfur,0,SD03
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,South Darfur,3308,SD03
River Nile,SD16,711488,141530,711473,15,2024,Feb,South Darfur,0,SD03
Sennar,SD14,434707,87064,434707,0,2024,Feb,South Darfur,0,SD03
South Darfur,SD03,740793,148158,740793,0,2024,Feb,South Darfur,697828,SD03
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,South Darfur,0,SD03
West Darfur,SD04,168995,33799,168995,0,2024,Feb,South Darfur,7950,SD03
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,South Darfur,250,SD03
White Nile,SD09,505351,100536,414875,90476,2024,Feb,South Darfur,0,SD03
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,South Kordofan,0,SD07
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,South Kordofan,0,SD07
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,South Kordofan,0,SD07
East Darfur,SD05,661530,132286,661530,0,2024,Feb,South Kordofan,0,SD07
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,South Kordofan,0,SD07
Kassala,SD11,179993,36317,176123,3870,2024,Feb,South Kordofan,0,SD07
Khartoum,SD01,46523,9340,46288,235,2024,Feb,South Kordofan,0,SD07
North Darfur,SD02,470467,94032,470349,118,2024,Feb,South Kordofan,0,SD07
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,South Kordofan,2860,SD07
Northern,SD17,403020,80079,402289,731,2024,Feb,South Kordofan,0,SD07
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,South Kordofan,3270,SD07
River Nile,SD16,711488,141530,711473,15,2024,Feb,South Kordofan,0,SD07
Sennar,SD14,434707,87064,434707,0,2024,Feb,South Kordofan,0,SD07
South Darfur,SD03,740793,148158,740793,0,2024,Feb,South Kordofan,0,SD07
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,South Kordofan,87679,SD07
West Darfur,SD04,168995,33799,168995,0,2024,Feb,South Kordofan,0,SD07
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,South Kordofan,5523,SD07
White Nile,SD09,505351,100536,414875,90476,2024,Feb,South Kordofan,0,SD07
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,West Darfur,0,SD04
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,West Darfur,0,SD04
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,West Darfur,57950,SD04
East Darfur,SD05,661530,132286,661530,0,2024,Feb,West Darfur,0,SD04
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,West Darfur,0,SD04
Kassala,SD11,179993,36317,176123,3870,2024,Feb,West Darfur,0,SD04
Khartoum,SD01,46523,9340,46288,235,2024,Feb,West Darfur,0,SD04
North Darfur,SD02,470467,94032,470349,118,2024,Feb,West Darfur,12945,SD04
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,West Darfur,0,SD04
Northern,SD17,403020,80079,402289,731,2024,Feb,West Darfur,0,SD04
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,West Darfur,377,SD04
River Nile,SD16,711488,141530,711473,15,2024,Feb,West Darfur,0,SD04
Sennar,SD14,434707,87064,434707,0,2024,Feb,West Darfur,0,SD04
South Darfur,SD03,740793,148158,740793,0,2024,Feb,West Darfur,4600,SD04
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,West Darfur,0,SD04
West Darfur,SD04,168995,33799,168995,0,2024,Feb,West Darfur,155215,SD04
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,West Darfur,0,SD04
White Nile,SD09,505351,100536,414875,90476,2024,Feb,West Darfur,0,SD04
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,West Kordofan,0,SD18
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,West Kordofan,0,SD18
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,West Kordofan,0,SD18
East Darfur,SD05,661530,132286,661530,0,2024,Feb,West Kordofan,800,SD18
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,West Kordofan,0,SD18
Kassala,SD11,179993,36317,176123,3870,2024,Feb,West Kordofan,0,SD18
Khartoum,SD01,46523,9340,46288,235,2024,Feb,West Kordofan,0,SD18
North Darfur,SD02,470467,94032,470349,118,2024,Feb,West Kordofan,110,SD18
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,West Kordofan,365,SD18
Northern,SD17,403020,80079,402289,731,2024,Feb,West Kordofan,0,SD18
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,West Kordofan,0,SD18
River Nile,SD16,711488,141530,711473,15,2024,Feb,West Kordofan,0,SD18
Sennar,SD14,434707,87064,434707,0,2024,Feb,West Kordofan,0,SD18
South Darfur,SD03,740793,148158,740793,0,2024,Feb,West Kordofan,0,SD18
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,West Kordofan,10,SD18
West Darfur,SD04,168995,33799,168995,0,2024,Feb,West Kordofan,0,SD18
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,West Kordofan,58639,SD18
White Nile,SD09,505351,100536,414875,90476,2024,Feb,West Kordofan,0,SD18
Aj Jazirah,SD15,347449,68779,347449,0,2024,Feb,White Nile,1232,SD09
Blue Nile,SD08,134010,26788,133585,425,2024,Feb,White Nile,0,SD09
Central Darfur,SD06,420340,84068,420340,0,2024,Feb,White Nile,0,SD09
East Darfur,SD05,661530,132286,661530,0,2024,Feb,White Nile,0,SD09
Gedaref,SD12,405873,80451,398338,7535,2024,Feb,White Nile,0,SD09
Kassala,SD11,179993,36317,176123,3870,2024,Feb,White Nile,0,SD09
Khartoum,SD01,46523,9340,46288,235,2024,Feb,White Nile,0,SD09
North Darfur,SD02,470467,94032,470349,118,2024,Feb,White Nile,0,SD09
North Kordofan,SD13,148444,29103,148116,328,2024,Feb,White Nile,125,SD09
Northern,SD17,403020,80079,402289,731,2024,Feb,White Nile,0,SD09
Red Sea,SD10,249555,49933,233764,15791,2024,Feb,White Nile,850,SD09
River Nile,SD16,711488,141530,711473,15,2024,Feb,White Nile,0,SD09
Sennar,SD14,434707,87064,434707,0,2024,Feb,White Nile,0,SD09
South Darfur,SD03,740793,148158,740793,0,2024,Feb,White Nile,0,SD09
South Kordofan,SD07,161178,31864,160436,742,2024,Feb,White Nile,119,SD09
West Darfur,SD04,168995,33799,168995,0,2024,Feb,White Nile,0,SD09
West Kordofan,SD18,136700,26933,136700,0,2024,Feb,White Nile,0,SD09
White Nile,SD09,505351,100536,414875,90476,2024,Feb,White Nile,5904,SD09
Aj Jazirah,SD15,77285,389881,389881,0,2024,Jan,Aj Jazirah,192181,SD15
Blue Nile,SD08,26283,131474,131049,425,2024,Jan,Aj Jazirah,10847,SD15
Central Darfur,SD06,74787,373935,373935,0,2024,Jan,Aj Jazirah,0,SD15
East Darfur,SD05,132146,660830,660830,0,2024,Jan,Aj Jazirah,0,SD15
Gedaref,SD12,74887,377643,370108,7535,2024,Jan,Aj Jazirah,56335,SD15
Kassala,SD11,33272,166228,162358,3870,2024,Jan,Aj Jazirah,21395,SD15
Khartoum,SD01,8942,44769,44534,235,2024,Jan,Aj Jazirah,145,SD15
North Darfur,SD02,91975,460188,460140,48,2024,Jan,Aj Jazirah,0,SD15
North Kordofan,SD13,28827,147095,146767,328,2024,Jan,Aj Jazirah,1373,SD15
Northern,SD17,80009,402675,401944,731,2024,Jan,Aj Jazirah,10865,SD15
Red Sea,SD10,47884,239027,223080,15947,2024,Jan,Aj Jazirah,59051,SD15
River Nile,SD16,139267,700827,700367,460,2024,Jan,Aj Jazirah,16132,SD15
Sennar,SD14,86848,434627,434627,0,2024,Jan,Aj Jazirah,78888,SD15
South Darfur,SD03,140623,703118,703118,0,2024,Jan,Aj Jazirah,0,SD15
South Kordofan,SD07,25012,127637,126895,742,2024,Jan,Aj Jazirah,2072,SD15
West Darfur,SD04,25708,128540,128540,0,2024,Jan,Aj Jazirah,0,SD15
West Kordofan,SD18,19813,101030,101030,0,2024,Jan,Aj Jazirah,0,SD15
