State_Of_Displacement,State_Code,IDPs,HHs,Sudanes,Non_Sudanes,Year,Month,State_Of_Origin,IDPs_by_State_Of_Origin,State_origin_Code
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,North Darfur,74679,SD02
East Darfur,SD05,660140,131918,660140,0,2024,Apr,North Darfur,15430,SD02
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,North Darfur,1557,SD02
Kassala,SD11,200083,40282,196213,3870,2024,Apr,North Darfur,0,SD02
Khartoum,SD01,69057,13717,68822,235,2024,Apr,North Darfur,0,SD02
North Darfur,SD02,573055,114503,572938,117,2024,Apr,North Darfur,498614,SD02
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,North Darfur,0,SD02
Northern,SD17,399867,80305,399136,731,2024,Apr,North Darfur,0,SD02
Red Sea,SD10,247874,49953,232588,15286,2024,Apr,North Darfur,5261,SD02
River Nile,SD16,698334,137799,698106,228,2024,Apr,North Darfur,187,SD02
Sennar,SD14,523986,104002,523986,0,2024,Apr,North Darfur,0,SD02
South Darfur,SD03,744243,148848,744243,0,2024,Apr,North Darfur,12985,SD02
South Kordofan,SD07,198839,39492,198097,742,2024,Apr,North Darfur,0,SD02
West Darfur,SD04,174540,34908,174540,0,2024,Apr,North Darfur,821,SD02
West Kordofan,SD18,148718,29340,148718,0,2024,Apr,North Darfur,845,SD02
White Nile,SD09,532643,105920,442949,89694,2024,Apr,North Darfur,0,SD02
Aj Jazirah,SD15,371177,73323,371177,0,2024,Apr,North Kordofan,0,SD13
Blue Nile,SD08,147736,29836,147241,495,2024,Apr,North Kordofan,35,SD13
Central Darfur,SD06,430224,86044,430224,0,2024,Apr,North Kordofan,0,SD13
East Darfur,SD05,660140,131918,660140,0,2024,Apr,North Kordofan,4420,SD13
Gedaref,SD12,492293,97817,484758,7535,2024,Apr,North Kordofan,350,SD13
Kassala,SD11,200083,40282,196213,3870,2024,Apr,North Kordofan,0,SD13
Khartoum,SD01,69057,13717,68822,235,2024,Apr,North Kordofan,0,SD13
North Darfur,SD02,573055,114503,572938,117,2024,Apr,North Kordofan,425,SD13
North Kordofan,SD13,174007,34261,173679,328,2024,Apr,North Kordofan,44564,SD13
